24,CROCODILE,1,?,2,3,4,5,?,?,6,?,7,?,8,?,?,9,?,0,4
25,"DANCE, TO","**su  a-vu, a-vu",?,*gari  i-rina,?,je'e,hèvá,"h’íbà, nə̀-gàmà","*u-baja, *u-baja",hɛ́w,?,ci-hjebu,?,ɔ́-rígá,?,?,rùmèkà,?,"jekhah, ku-jiga",jèʔè
25,"DANCE, TO",1,?,4,?,2,3,3,5,3,?,3,?,6,?,?,6,?,"{2,6}",2
26,DEPTH,ʧanʧam,?,*o-jo,?,?,s-lɔ̀(s-),ìʔílọ̀,*u-dangu,ə́r-də́w,?,?,?,**ornehreh,?,?,rí-lúkù,?,u-kenberu,ù-gə̀vì
26,DEPTH,1,?,2,?,?,3,4,5,6,?,?,?,7,?,?,8,?,9,0
27,DIE: DEATH,"u-ku, u-ku",?,*u-wanah,?,?,wě,"‘wọ́, à-ʔújọ",*kuaw,már,?,mo u:ɔ,?,"ŋwan-e (ŋwa-ne?), **u-wyano",pə ~ kpə,hwu,u-wi,?,"kee, kaʤere",kùwə̀
27,DIE: DEATH,1,?,2,?,?,1,2,1,6,?,5,?,4,3,2,2,?,3,1
28,"DIVIDE, SHARE OUT, TO",koso,?,*wara,?,pèckú,wàn kâ,ŋgámâŋgà,*gawa,wóŋk,?,?,?,**hara,?,?,pòrkà,?,gan zar,pè:cè
28,"DIVIDE, SHARE OUT, TO",1,?,2,?,5,2,3,4,2,?,?,?,4,?,?,5,?,6,5
29,"DRAW (WATER), TO",u-tiw,?,*tuka,?,?,?,?,?,?,?,?,?,**jenta,?,?,?,?,min,?
29,"DRAW (WATER), TO",1,?,2,?,?,?,?,?,?,?,?,?,3,?,?,?,?,4,?
30,"BECOME DRY, TO",u-kotu,?,*wa,?,?,"hwà, hɔ̌",hə́ˋgə̀ˋlə́ˋ,*ki-za,fwɔ́,?,i-ho:so,?,**u-wijaror,?,?,lúnà,?,ro-wo,ɗè:kpè
30,"BECOME DRY, TO",1,?,2,?,?,2,3,4,2,?,2,?,6,?,?,7,?,2,8
31,EAR,*kɔ-tɔf,?,ò-tóŋí,?,kùtsúvù,?,ì-câ,ku-to,?,o-tɔi,a-tobi,ta-ttɔ,*ɔ-tɔ,a-to  (? pl.),?,?,u-tawai,?,?
31,EAR,1,?,1,?,2,?,3,1,?,1,1,1,1,1,?,?,4,?,?
32,"EAT, TO",u-li,lri (ri ?),wuʃu,?,?,"rjà, rjákà",já,le  (?),rɛ́,?,mo lewa,?,ne,dɪrɛ(?) ~ rɛ  (?),rikiri (? ri ki-ri),tama,?,ree,ljàʔà
32,"EAT, TO",1,1,2,?,?,3,3,1,3,?,4,?,5,1,1,6,?,1,3
33,EGG,li-kwai (<H.); *li-pai,ʧi kɔr,rì-ŋmwà,?,kòkó,d-gjàŋ,nìˋ-ŋgjà,nɪ-kpa,ə́rgjɛ́,ni-wa,le:-nge,?,nə́-ŋmwá,lɪ-pa,ri-ʧe,rɛ-rɛ,i-ngma,ri-kwa,kò-kòwò
33,EGG,1,"{1,5}",2,?,1,3,2,1,3,2,2,?,2,1,5,6,2,1,1
34,ELEPHANT,*fe-ro,ruwa,bèró,?,kàgìwà,lɔ̀gmɔ̂,ìgyĩ̀wà,pɪ-rɔgɔ,ù-rɔ́k,bi-rɔ,u-gjo,?,bə́-rwaga,kɪ-rɔgɔ,u-rɔ,hí-lə̌llə́,bi-rɔ,pi-kaie,kà-gìwà
34,ELEPHANT,1,1,1,?,3,4,3,2,2,1,5,?,6,2,1,7,1,8,3
35,"EXTINGUISHED, BE TO",u-molu,?,biʃi,?,?,wě,?,*jirkia,?,?,?,?,**ubanbanʧe,?,?,?,?,taramarara,kìmmə̀
35,"EXTINGUISHED, BE TO",1,?,2,?,?,3,?,4,?,?,?,?,5,?,?,?,?,6,7
36,EYE,li-zi; *ijizi,jɪs,rì-ʤí,leze (z?),kə́ə́shì,d-ìsə́,nǐ:-ʃɔ̀,nɪ-izi,ə̀rjíʃ,ɛ-ʤe,e-jis,le-ze,ní-jízí,ri-ʤi,rɪ-jɪs,rì-nìnì,e-ʤi,ri-jizi,kə́:-ʃì
36,EYE,1,1,1,1,2,3,2,1,3,2,1,1,1,1,1,4,1,1,2
37,"FALL, TO",u-diu,?,*rizi,?,?,?,*kina,*gigi,?,?,mo: hine:i,?,**rije,?,?,cenə,?,riggi,?
37,"FALL, TO",1,?,2,?,?,?,3,4,?,?,5,?,2,?,?,6,?,2,?
38,"FAT, OIL, GREASE","im-mai; *ti-bip, *nof",bap,"*n-pun, mà-néné",?,màní,"m̀-sèmá, m̀-nèvé","cì-bjɛ̃i, *mi-jigo","mani, mumaja","ə̀m-sɛ́m, ə̀m-náw","tɪ-noi, mane",mə-nəbi,?,"u-kandɪra; *nipum, məi","mani, manuŋ","tɪ bɛp, mʌi",u-hemi,"ma-tenne, manawai","u-buktozu, ma-mai",mà-nĩ́’ĩ̀
38,"FAT, OIL, GREASE","{1,2}",2,2,?,1,2,3,1,2,1,"{1,2}",?,2,1,2,4,1,1,1
39,FEAR,fiw,?,*i-wi,?,wòònvò,ə̀v-gyèlà (v.),?,matau,?,?,?,?,*u-wageh,?,?,?,?,u-ke-u,wõ̀vò
39,FEAR,1,?,1,?,2,3,?,4,?,?,?,?,5,?,?,?,?,6,2
