000,GLOSS,amo,atsam,buji,camo,cishigini,clela,fungwa,gbiri,hun-saare,janji,kamuku,kudu,kurama,niragu,piti,reshe,sheni,surubu,tsikimba
022,COW/CATTLE,**fi-na; **kuluka,?,bì-vàrè,ku-na,*bi-na,?,bə̀-nɛ́ʔɛ̀,*pi-na,?,?,*bi-na,?,**be-nah,?,inna,?,bi-na,pi-nakhah; karimi,?
022,COW/CATTLE,**fi-na; **kuluka,?,bì-vàrè,ku-na,*bi-na,?,bə̀-nɛ́ʔɛ̀,*pi-na,?,?,*bi-na,?,**be-nah,?,inna,?,bi-na,pi-nakhah; karimi,?
060,MEAT,fi-nawa,nam;  *-nam,*bi-nama,?,*u:-zúmbo: a,nə́mə́,ì-dágù,ku-nʌma;,ə́r-ʔàp,bɪ-nama,*u:-zúmbo: a,i-nama,*bɪ-nama;,ka-nama,e-nam,?,i-nama,e-nama,vù-ɲámà
060,MEAT,fi-nawa,nam;  *-nam,*bi-nama,?,*u:-zúmbo: a,nə́mə́,ì-dágù,ku-nʌma;,ə́r-ʔàp,bɪ-nama,*u:-zúmbo: a,i-nama,*bɪ-nama;,ka-nama,e-nam,?,i-nama,e-nama,vù-ɲámà
074,"ROAST ON COALS, TO",uʤuʤu,*-bani; babbani,*diʃi,?,?,kàgə̀dsá; ɔ̀tɔ̀; zɔ̌,ndôsò,*pobo,ká:s; riʃ; zɔ́,?,?,?,**pavah,?,?,pòpà,?,popso tiʧeni,zàtskù
074,"ROAST ON COALS, TO",uʤuʤu,*-bani; babbani,*diʃi,?,?,kàgə̀dsá; ɔ̀tɔ̀; zɔ̌,ndôsò,*pobo,ká:s; riʃ; zɔ́,?,?,?,**pavah,?,?,pòpà,?,popso tiʧeni,zàtskù
106,FOUR,nnas,a-nas,nàzé,nazi,i-nəʃi,"nássé, ìná:sè",nó:ʃì,pe-nas~e-,na̍s,tɪ-naze,i-nəʃi,naze,-nááze,naz-o; tu-nas,ti-nas,la-naʃɛ̃́,naʤe,ka-nas,-nə́ʃì
106,FOUR,nnas,a-nas,nàzé,nazi,i-nəʃi,"nássé, ìná:sè",nó:ʃì,pe-nas~e-,na̍s,tɪ-naze,i-nəʃi,naze,-nááze,naz-o; tu-nas,ti-nas,la-naʃɛ̃́,naʤe,ka-nas,-nə́ʃì
036,EYE,li-zi; *ijizi,jɪs,rì-ʤí,leze (z?),e-jis,d-ìsə́,nǐ:-ʃɔ̀,nɪ-izi,ə̀rjíʃ,ɛ-ʤe,e-jis,le-ze,ní-jízí,ri-ʤi,rɪ-jɪs,rì-nìnì,e-ʤi,ri-jizi,kə́:-ʃì
036,EYE,li-zi; *ijizi,jɪs,rì-ʤí,leze (z?),e-jis,d-ìsə́,nǐ:-ʃɔ̀,nɪ-izi,ə̀rjíʃ,ɛ-ʤe,e-jis,le-ze,ní-jízí,ri-ʤi,rɪ-jɪs,rì-nìnì,e-ʤi,ri-jizi,kə́:-ʃì
023,CRAB,?,?,*uga-kara,?,?,àvà,ì-ʔwộ:ndù,*korokoro,ù-ʔáŋgàrá,?,?,?,**u-kanna,?,?,hí-kàgùwà,?,ku-puko,mà-kànà
023,CRAB,?,?,*uga-kara,?,?,àvà,ì-ʔwộ:ndù,*korokoro,ù-ʔáŋgàrá,?,?,?,**u-kanna,?,?,hí-kàgùwà,?,ku-puko,mà-kànà
114,TWENTY,akut aba,kur-aba,*akur repo,oro,*opá:li:e,də̀kwɛ̀zɛ̀,kùʤìjò,**a-ɸiri a-ba; *ar piri aba,ə́rkwɔ́:z̥,?,*opá:li:e,?,a̍-kúrá-rja,?,akunaba,alə́sə,uket turere,a-kiri a va,kà-màngà
114,TWENTY,akut aba,kur-aba,*akur repo,oro,*opá:li:e,də̀kwɛ̀zɛ̀,kùʤìjò,**a-ɸiri a-ba; *ar piri aba,ə́rkwɔ́:z̥,?,*opá:li:e,?,a̍-kúrá-rja,?,akunaba,alə́sə,uket turere,a-kiri a va,kà-màngà
084,SNAKE,fijij,jɔwi,bì-wá,?,hoʔa;  *á:-hu:a,òblâ,ìhwáʔà,onisalɪp,ù-ɸɔ́,bi-wa,hoʔa;  *á:-hu:a,?,bó-wá,beni,e-wok,h-joha,u-wa,pi-jowo,kó:kò
084,SNAKE,fijij,jɔwi,bì-wá,?,hoʔa;  *á:-hu:a,òblâ,ìhwáʔà,onisalɪp,ù-ɸɔ́,bi-wa,hoʔa;  *á:-hu:a,?,bó-wá,beni,e-wok,h-joha,u-wa,pi-jowo,kó:kò
072,"RESEMBLE, BE EQUAL TO","u-koma, (?) u-korna H?, a-di daidai H.",**ka hirjer,jinkana,?,?,-hòn-,?,"*kakama  H., *aʤi kumanu",?,?,?,?,"orkama  H., **urunde",?,?,?,?,terunturu wo; sutsunu wo,àkàmà  H.
072,"RESEMBLE, BE EQUAL TO","u-koma, (?) u-korna H?, a-di daidai H.",**ka hirjer,jinkana,?,?,-hòn-,?,"*kakama  H., *aʤi kumanu",?,?,?,?,"orkama  H., **urunde",?,?,?,?,terunturu wo; sutsunu wo,àkàmà  H.
027,DIE: DEATH,"u-ku, u-ku",?,*u-wanah,?,mo u:ɔ,wě,"‘wọ́, à-ʔújọ",*kuaw,már,?,mo u:ɔ,?,"ŋwan-e (ŋwa-ne?), **u-wyano",pə ~ kpə,hwu,u-wi,?,"kee, kaʤere",kùwə̀
027,DIE: DEATH,"u-ku, u-ku",?,*u-wanah,?,mo u:ɔ,wě,"‘wọ́, à-ʔújọ",*kuaw,már,?,mo u:ɔ,?,"ŋwan-e (ŋwa-ne?), **u-wyano",pə ~ kpə,hwu,u-wi,?,"kee, kaʤere",kùwə̀
058,"LICK, TO",lele,?,lama,?,?,lɛ̀msɛ́,?,*rianga,?,?,?,?,**utentse,?,?,lálàhá,?,mu-mu,pèɗè
058,"LICK, TO",lele,?,lama,?,?,lɛ̀msɛ́,?,*rianga,?,?,?,?,**utentse,?,?,lálàhá,?,mu-mu,pèɗè
055,"LEG, FOOT",ku-bunu,tak,ù-gbùnà,utu-buna (pl.?),e-bwonə,ù-ná,ù-və̀ǹà,ka-bona,ù-ná,o-buna,e-bwonə,tu-gbuna,ó-kaza,ka-bunu? ~ ka-buna,u-won,ú-kánà,u-bunu,ka-vina,kù-nè
055,"LEG, FOOT",ku-bunu,tak,ù-gbùnà,utu-buna (pl.?),e-bwonə,ù-ná,ù-və̀ǹà,ka-bona,ù-ná,o-buna,e-bwonə,tu-gbuna,ó-kaza,ka-bunu? ~ ka-buna,u-won,ú-kánà,u-bunu,ka-vina,kù-nè
101,WING,a-gilit,*afuka-fuki,*u-ganlun,?,?,ù-kàpó,ì-piã̀,*a-galle,ú-kə́kə́n,?,?,?,ù-gàrnâŋ,ku-vek,?,ú-pètà,?,o-gáŋné,kù-vèlù
101,WING,a-gilit,*afuka-fuki,*u-ganlun,?,?,ù-kàpó,ì-piã̀,*a-galle,ú-kə́kə́n,?,?,?,ù-gàrnâŋ,ku-vek,?,ú-pètà,?,o-gáŋné,kù-vèlù
090,"STONE, ROCK",li-tala,paŋ,rì-zùwà *ri-zuwa,ku-ʃali,tare,d-tà:rè,ì-tà:jà,nɪ-ta,ə́r-tā́r *o-taʔar,li-pɔ,tare,?,o-tale,lɪ-ta,"ri-pan , li-",ú-tárɛ,wu-tai,ri-kwag ku-pana,kà-tà:lì
090,"STONE, ROCK",li-tala,paŋ,rì-zùwà *ri-zuwa,ku-ʃali,tare,d-tà:rè,ì-tà:jà,nɪ-ta,ə́r-tā́r *o-taʔar,li-pɔ,tare,?,o-tale,lɪ-ta,"ri-pan , li-",ú-tárɛ,wu-tai,ri-kwag ku-pana,kà-tà:lì
095,TORTOISE,**kukulufet (H.?),*kukur,bì-gə̀ŋkə̀rə̀ní,?,u-ogʌl,kà:rò,ì-kwàkí:kə̀w,kakus,ú-ká:r,?,u-ogʌl,?,*u-kurki,?,?,hí-kpàgúlù,?,ka-kur kakur,mà-kpàgà
095,TORTOISE,**kukulufet (H.?),*kukur,bì-gə̀ŋkə̀rə̀ní,?,u-ogʌl,kà:rò,ì-kwàkí:kə̀w,kakus,ú-ká:r,?,u-ogʌl,?,*u-kurki,?,?,hí-kpàgúlù,?,ka-kur kakur,mà-kpàgà
113,FIFTEEN,likure nin nitau,*kur-na-tone,*rikurin ʃibi,tangini-o-ʃu,*ópa:  tá:a,ó:pá nìtâŋ,swà:gə̀tá,*ri-piri ar kiʃi,[ɔ̀pʊ̀tá:  n],?,*ópa:  tá:a,?,nə́-kúrí-n  óóʃi,?,?,úpócítõ,?,ri-kiri i-ʃi,gèndù; kùppá nàzátɔ̃̂
113,FIFTEEN,likure nin nitau,*kur-na-tone,*rikurin ʃibi,tangini-o-ʃu,*ópa:  tá:a,ó:pá nìtâŋ,swà:gə̀tá,*ri-piri ar kiʃi,[ɔ̀pʊ̀tá:  n],?,*ópa:  tá:a,?,nə́-kúrí-n  óóʃi,?,?,úpócítõ,?,ri-kiri i-ʃi,gèndù; kùppá nàzátɔ̃̂
102,"WOMAN, WIFE","uwani, uwani","-hu, *-huu","ò-wâj, ò-wájòhóŋ",amadaja (sg. = H. ?),bo-ə,"nètá, nètá",bùʔõi bùʔõi,o-ni-ɪ -kwa,*neʔa,u-nnɛ,bo-ə,ma-dai,bó-rái,pu-pa,u-kwo,?,"u-nuai, u-nuai",?,"vùkâ, vùkâ"
102,"WOMAN, WIFE","uwani, uwani","-hu, *-huu","ò-wâj, ò-wájòhóŋ",amadaja (sg. = H. ?),bo-ə,"nètá, nètá",bùʔõi bùʔõi,o-ni-ɪ -kwa,*neʔa,u-nnɛ,bo-ə,ma-dai,bó-rái,pu-pa,u-kwo,?,"u-nuai, u-nuai",?,"vùkâ, vùkâ"
037,"FALL, TO",u-diu,?,*rizi,?,mo: hine:i,?,*kina,*gigi,?,?,mo: hine:i,?,**rije,?,?,cenə,?,riggi,?
037,"FALL, TO",u-diu,?,*rizi,?,mo: hine:i,?,*kina,*gigi,?,?,mo: hine:i,?,**rije,?,?,cenə,?,riggi,?
081,SING,su avu,**ʃam,*gusa,?,?,?,zúŋgà,*jikaʃʃi,?,?,?,?,**janeh uwuno,?,?,?,?,sipsa,?
081,SING,su avu,**ʃam,*gusa,?,?,?,zúŋgà,*jikaʃʃi,?,?,?,?,**janeh uwuno,?,?,?,?,sipsa,?
115,HUNDRED,likalt,?,*rinu,reke,?,zə̀ŋgú,ìkwà:ku; dəri,*rina,ùzùŋgú,?,?,?,o-ta̍a̍dé,?,?,ri-noku,ikwi,ku-dari kure,?
115,HUNDRED,likalt,?,*rinu,reke,?,zə̀ŋgú,ìkwà:ku; dəri,*rina,ùzùŋgú,?,?,?,o-ta̍a̍dé,?,?,ri-noku,ikwi,ku-dari kure,?
067,"PIG (DOMESTIC, WILD)",kuladu; *ko-raŋga,ʤaŋ,"**alade, **biraŋ-aa",?,kaɗo,"àlɛ́dɛ̀, àlɛ́dɛ̀nɛ̀",?,ka-dɪm,?,bi-raŋga,kaɗo,?,*bɪ-dɪm,ka-dɪm,o-duaŋ,hí-ʃíʃibu,u-dima,"uvikah, i-nama, e-rimi",kù-ʤímâ
067,"PIG (DOMESTIC, WILD)",kuladu; *ko-raŋga,ʤaŋ,"**alade, **biraŋ-aa",?,kaɗo,"àlɛ́dɛ̀, àlɛ́dɛ̀nɛ̀",?,ka-dɪm,?,bi-raŋga,kaɗo,?,*bɪ-dɪm,ka-dɪm,o-duaŋ,hí-ʃíʃibu,u-dima,"uvikah, i-nama, e-rimi",kù-ʤímâ
083,SMELL (OF): SMELL (TR.),kunje,**gunni; *-gunak,"**un-ɲa, **un-ɲa tukuku",?,?,kwɛ̀smá,wúsúmònò; wúsúmónə́mà,*nukunu,wə́sɛ́,?,?,?,**uhija,?,?,ù-pùnò,?,u-jeg,"ʃà´ :mâ, tsúɱgbâ"
083,SMELL (OF): SMELL (TR.),kunje,**gunni; *-gunak,"**un-ɲa, **un-ɲa tukuku",?,?,kwɛ̀smá,wúsúmònò; wúsúmónə́mà,*nukunu,wə́sɛ́,?,?,?,**uhija,?,?,ù-pùnò,?,u-jeg,"ʃà´ :mâ, tsúɱgbâ"
087,TO SPIT,?,**tan  a-ʧiʧi,*ʧate taje,?,?,?,ə-tḿbi,*burkeja,?,?,?,?,**ʧefi,?,?,?,?,ʧitkara,ʤìrà
087,TO SPIT,?,**tan  a-ʧiʧi,*ʧate taje,?,?,?,ə-tḿbi,*burkeja,?,?,?,?,**ʧefi,?,?,?,?,ʧitkara,ʤìrà
098,WANT (DESIRE): LACK SEEK,"u-su; u-dimunba, usalin se, upiziru",bari,"u-barsa, **mda men no ne, **giŋ ag-rau",?,?,"tɔ̀nɔ̀, rásà  H.",gúmànà,"*in wanda; *indiba, *kankari",cɔn,ʤasu,?,?,"*tare, **u-zau",ʤasu,so  H.,á:-tà,?,"nsuni, u-zaar","cìgà, lə́nsə̂"
098,WANT (DESIRE): LACK SEEK,"u-su; u-dimunba, usalin se, upiziru",bari,"u-barsa, **mda men no ne, **giŋ ag-rau",?,?,"tɔ̀nɔ̀, rásà  H.",gúmànà,"*in wanda; *indiba, *kankari",cɔn,ʤasu,?,?,"*tare, **u-zau",ʤasu,so  H.,á:-tà,?,"nsuni, u-zaar","cìgà, lə́nsə̂"
094,TOOTH,*li-jini,jɪn,bì-ní,tin-je,e-jala  *lí:-ni:e ni:e,ʊ-nì:ně,nì-ɲíɲù,u-baŋgo,"ù-jín, ù-nín",lɪ-hini,e-jala  *lí:-ni:e ni:e,?,né-jéné,u-baŋgo,ri-ʤɪn,rè-nũ̀hĩ̀,i-inni,pi-jini,kà-ngà
094,TOOTH,*li-jini,jɪn,bì-ní,tin-je,e-jala  *lí:-ni:e ni:e,ʊ-nì:ně,nì-ɲíɲù,u-baŋgo,"ù-jín, ù-nín",lɪ-hini,e-jala  *lí:-ni:e ni:e,?,né-jéné,u-baŋgo,ri-ʤɪn,rè-nũ̀hĩ̀,i-inni,pi-jini,kà-ngà
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","u-no, u-nato umon",?,"tete, witu",?,"mo: ʃindiga:ne, le:ʧi","lə̀tə́, lə́və̀","gáɟìgà, kínànlá","*danogo, *kanon","rə́t, réwɛ́",?,"mo: ʃindiga:ne, le:ʧi",?,**rarah,?,?,hìnə́,?,nomo,và:kù
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","u-no, u-nato umon",?,"tete, witu",?,"mo: ʃindiga:ne, le:ʧi","lə̀tə́, lə́və̀","gáɟìgà, kínànlá","*danogo, *kanon","rə́t, réwɛ́",?,"mo: ʃindiga:ne, le:ʧi",?,**rarah,?,?,hìnə́,?,nomo,và:kù
029,"DRAW (WATER), TO",u-tiw,?,*tuka,?,?,?,?,?,?,?,?,?,**jenta,?,?,?,?,min,?
029,"DRAW (WATER), TO",u-tiw,?,*tuka,?,?,?,?,?,?,?,?,?,**jenta,?,?,?,?,min,?
066,PERSON,o-net,sai,o-no,?,bo-tɔ,nòcó,vá:tu,(m)o-nɪr,-nɛ́t,o-no,bo-tɔ,uk-wari,*bu-gana,pɪ-nɪrɪgara,u-ʃie,undo (?),u-no,pijer,vùmà
066,PERSON,o-net,sai,o-no,?,bo-tɔ,nòcó,vá:tu,(m)o-nɪr,-nɛ́t,o-no,bo-tɔ,uk-wari,*bu-gana,pɪ-nɪrɪgara,u-ʃie,undo (?),u-no,pijer,vùmà
107,FIVE,n-ntaun,a-tuon,ʃíbí,ʃu,i-taʔa,táŋ; ìtâŋ,tá,pi-ʃi ( ~ɪpi- ~kɪ- ~gɪ- ~kɪ-ʃik),tá:n,ʧibi,i-taʔa,su,-ʃí,"i-ʃik-o, kɪ-ʃi",tɪ-tan-aŋ ~a-,lá-ɔ̃̀,ʃibi,ki-ʃi,-tã́ũ
107,FIVE,n-ntaun,a-tuon,ʃíbí,ʃu,i-taʔa,táŋ; ìtâŋ,tá,pi-ʃi ( ~ɪpi- ~kɪ- ~gɪ- ~kɪ-ʃik),tá:n,ʧibi,i-taʔa,su,-ʃí,"i-ʃik-o, kɪ-ʃi",tɪ-tan-aŋ ~a-,lá-ɔ̃̀,ʃibi,ki-ʃi,-tã́ũ
078,"TRAP, TO SET A",u-tu injan,**a-tsir tarko (n. = H.),*o-gero,?,?,rènà,?,*mage bumai,?,?,?,?,**renkeh-ubuma,?,?,?,?,ta za abaŋ,àzkù
078,"TRAP, TO SET A",u-tu injan,**a-tsir tarko (n. = H.),*o-gero,?,?,rènà,?,*mage bumai,?,?,?,?,**renkeh-ubuma,?,?,?,?,ta za abaŋ,àzkù
040,FEMALE,u-nit,?,*u-wai,umade,?,?,bùoˋi:,*konarumi,?,?,?,?,**behaviour (?),?,?,ù-dɔ̀nɔ̀bà-,?,ki-sihaŋ,vù-ká
040,FEMALE,u-nit,?,*u-wai,umade,?,?,bùoˋi:,*konarumi,?,?,?,?,**behaviour (?),?,?,ù-dɔ̀nɔ̀bà-,?,ki-sihaŋ,vù-ká
