000,GLOSS,amo,atsam,buji,camo,cishigini,clela,fungwa,gbiri,hun-saare,janji,kamuku,kudu,kurama,niragu,piti,reshe,sheni,surubu,tsikimba
026,DEPTH,ʧanʧam,?,*o-jo,?,?,s-lɔ̀(s-),ìʔílọ̀,*u-dangu,ə́r-də́w,?,?,?,**ornehreh,?,?,rí-lúkù,?,u-kenberu,ù-gə̀vì
035,"EXTINGUISHED, BE TO",u-molu,?,biʃi,?,?,wě,?,*jirkia,?,?,?,?,**ubanbanʧe,?,?,?,?,taramarara,kìmmə̀
035,"EXTINGUISHED, BE TO",u-molu,?,biʃi,?,?,wě,?,*jirkia,?,?,?,?,**ubanbanʧe,?,?,?,?,taramarara,kìmmə̀
104,TWO,im-ba,a-ba~za-ba,rèpó,raki,i-rjɛ,ìllə̀; ìʔílə̀,jó:gó,pi-ba (~e-~a-~na-),"jor, ujor",tɪ-rɛ (~wa-~a-),i-rjɛ,reke,-rjá,ba-o~a-ba (~ɪ-~ma-~tu-),a-ba~ti-ba,rì-sə́,rere,ka-va,-rè
104,TWO,im-ba,a-ba~za-ba,rèpó,raki,i-rjɛ,ìllə̀; ìʔílə̀,jó:gó,pi-ba (~e-~a-~na-),"jor, ujor",tɪ-rɛ (~wa-~a-),i-rjɛ,reke,-rjá,ba-o~a-ba (~ɪ-~ma-~tu-),a-ba~ti-ba,rì-sə́,rere,ka-va,-rè
017,CHILD,gono,san ~ tsen,vànà,ganʤa,bo:o,wà,bàʔà,kono,wa̍,vanna,bo:o,pana,váná (v-áná ?),kono,kɪʧɛn ~ kɪkɛŋgɛ; indana,ú-bì,bana,kono,mà:kù
017,CHILD,gono,san ~ tsen,vànà,ganʤa,bo:o,wà,bàʔà,kono,wa̍,vanna,bo:o,pana,váná (v-áná ?),kono,kɪʧɛn ~ kɪkɛŋgɛ; indana,ú-bì,bana,kono,mà:kù
109,SEVEN,kuzor,a-tarba,súnàrí,sinna,i-tandərjɛ,tàŋílə̀,tíndàlò,pi-sundɛri-ku-sundari,tà’jo:r,sunare,i-tandərjɛ,bəsunari,súndèrè,(ku-)sunduri,tarwa,tã̀ sẽ́,sunare,ku-tasi apire,ʧìndèrè
109,SEVEN,kuzor,a-tarba,súnàrí,sinna,i-tandərjɛ,tàŋílə̀,tíndàlò,pi-sundɛri-ku-sundari,tà’jo:r,sunare,i-tandərjɛ,bəsunari,súndèrè,(ku-)sunduri,tarwa,tã̀ sẽ́,sunare,ku-tasi apire,ʧìndèrè
068,"PRESS, SQUEEZE OUT, MILK","udoduna, **malina",**párki,"*noke, *takara ?H",?,?,?,?,"*norkja, *mallikej",?,?,?,?,*pinnirize,?,?,?,?,"parme, gwalle",pìʃà
068,"PRESS, SQUEEZE OUT, MILK","udoduna, **malina",**párki,"*noke, *takara ?H",?,?,?,?,"*norkja, *mallikej",?,?,?,?,*pinnirize,?,?,?,?,"parme, gwalle",pìʃà
032,"EAT, TO",u-li,lri (ri ?),wuʃu,?,mo lewa,"rjà, rjákà",já,le  (?),rɛ́,?,mo lewa,?,ne,dɪrɛ(?) ~ rɛ  (?),rikiri (? ri ki-ri),tama,?,ree,ljàʔà
032,"EAT, TO",u-li,lri (ri ?),wuʃu,?,mo lewa,"rjà, rjákà",já,le  (?),rɛ́,?,mo lewa,?,ne,dɪrɛ(?) ~ rɛ  (?),rikiri (? ri ki-ri),tama,?,ree,ljàʔà
091,TAKE OUT OF: EMPTY,u-fulu,**dojer ba,*ita,?,*mo wá:o,?,kásà,"*piza, *kahuni",?,?,*mo wá:o,?,**katterh-naŋ,?,?,?,?,"ʧitda, kupanko",tsũ̀w)ɔ̃̀
091,TAKE OUT OF: EMPTY,u-fulu,**dojer ba,*ita,?,*mo wá:o,?,kásà,"*piza, *kahuni",?,?,*mo wá:o,?,**katterh-naŋ,?,?,?,?,"ʧitda, kupanko",tsũ̀w)ɔ̃̀
088,"SPREAD IN SUN TO DRY, TO",ute,**jije rigen in wai,**sazara ug-ɲai di wui,?,?,?,?,kanga kun meme,?,?,?,?,nateh,?,?,?,?,a anjen indok,é:ckpê
088,"SPREAD IN SUN TO DRY, TO",ute,**jije rigen in wai,**sazara ug-ɲai di wui,?,?,?,?,kanga kun meme,?,?,?,?,nateh,?,?,?,?,a anjen indok,é:ckpê
092,THING,i-mon,njen (ni),*ij-abo  H.?,?,?,?,ì-jì,*kakuʃi,?,?,?,?,*apuahai,kakuʃika,ianɛnaŋga,?,?,ki-ranwa,ì:-lî
092,THING,i-mon,njen (ni),*ij-abo  H.?,?,?,?,ì-jì,*kakuʃi,?,?,?,?,*apuahai,kakuʃika,ianɛnaŋga,?,?,ki-ranwa,ì:-lî
053,HOE: CULTIVATE,u-ʃaru,kap,vara,?,?,"kə́rmə̀, gɔ̀vɔ́","hwã́, húdọ̀",kaba ~ kab (?),"gwów, duk, kéwér",?,?,?,**woroh,kaba ~ kap,kap (?),gùlə̀,?,kava,cìmbà
053,HOE: CULTIVATE,u-ʃaru,kap,vara,?,?,"kə́rmə̀, gɔ̀vɔ́","hwã́, húdọ̀",kaba ~ kab (?),"gwów, duk, kéwér",?,?,?,**woroh,kaba ~ kap,kap (?),gùlə̀,?,kava,cìmbà
061,MOULD TO,uke nin na ʧara,**juwag,sakala,?,?,mǎ,?,*kabana,má,?,?,?,**pitire,?,?,?,?,su-wa,màʔà
061,MOULD TO,uke nin na ʧara,**juwag,sakala,?,?,mǎ,?,*kabana,má,?,?,?,**pitire,?,?,?,?,su-wa,màʔà
007,"BAD (BE), TO",nanzan,?,*ʧaron,?,i:  lewo,-nà:-,?,*ka-banza (<H.),?,?,i:  lewo,?,*unu+zibu,?,?,lə́-mə̀hàndó (n.),?,ku-jikun,gbanəgbani
007,"BAD (BE), TO",nanzan,?,*ʧaron,?,i:  lewo,-nà:-,?,*ka-banza (<H.),?,?,i:  lewo,?,*unu+zibu,?,?,lə́-mə̀hàndó (n.),?,ku-jikun,gbanəgbani
